geometry,condition,sample_size,repeat,fine_clusters,effective_clusters
refolded,1.x.x.x,100,7,96,94.11203460819466
refolded,1.x.x.x,100,8,99,98.62327044933582
refolded,1.x.x.x,100,9,99,98.62327044933582
refolded,1.x.x.x,100,10,94,89.74500786470311
refolded,1.x.x.x,100,11,97,94.60576467255952
refolded,1.x.x.x,100,12,98,96.7578840354192
refolded,1.x.x.x,100,13,98,96.7578840354192
refolded,1.x.x.x,100,14,99,98.62327044933582
refolded,1.x.x.x,100,15,94,89.74500786470311
refolded,1.x.x.x,100,16,96,94.11203460819475
refolded,1.x.x.x,100,17,96,94.11203460819466
refolded,1.x.x.x,100,18,96,94.11203460819475
refolded,1.x.x.x,100,19,99,98.62327044933582
refolded,1.x.x.x,197,0,184,172.7939689182396
refolded,1.x.x.x,197,1,184,172.7939689182396
refolded,1.x.x.x,197,2,184,172.7939689182396
refolded,1.x.x.x,197,3,184,172.7939689182396
refolded,1.x.x.x,197,4,184,172.7939689182396
refolded,1.x.x.x,197,5,184,172.7939689182396
refolded,1.x.x.x,197,6,184,172.7939689182396
refolded,1.x.x.x,197,7,184,172.7939689182396
refolded,1.x.x.x,197,8,184,172.7939689182396
refolded,1.x.x.x,197,9,184,172.79396891823944
refolded,1.x.x.x,197,10,184,172.7939689182396
refolded,1.x.x.x,197,11,184,172.7939689182396
refolded,1.x.x.x,197,12,184,172.7939689182396
refolded,1.x.x.x,197,13,184,172.7939689182396
refolded,1.x.x.x,197,14,184,172.7939689182396
refolded,1.x.x.x,197,15,184,172.7939689182396
refolded,1.x.x.x,197,16,184,172.7939689182396
refolded,1.x.x.x,197,17,184,172.7939689182396
refolded,1.x.x.x,197,18,184,172.7939689182396
refolded,1.x.x.x,197,19,184,172.7939689182396
refolded,2.x.x.x,25,0,23,21.9121735057589
refolded,2.x.x.x,25,1,25,24.999999999999986
refolded,2.x.x.x,25,2,24,23.651441168139897
refolded,2.x.x.x,25,3,24,23.651441168139897
refolded,2.x.x.x,25,4,25,24.999999999999986
refolded,2.x.x.x,25,5,25,24.999999999999986
refolded,2.x.x.x,25,6,25,24.999999999999986
refolded,2.x.x.x,25,7,23,22.37562677319928
refolded,2.x.x.x,25,8,25,24.999999999999986
refolded,2.x.x.x,25,9,25,24.999999999999986
refolded,2.x.x.x,25,10,25,24.999999999999986
refolded,2.x.x.x,25,11,24,23.651441168139897
refolded,2.x.x.x,25,12,25,24.999999999999986
refolded,2.x.x.x,25,13,25,24.999999999999986
refolded,2.x.x.x,25,14,24,23.651441168139897
refolded,2.x.x.x,25,15,25,24.999999999999986
refolded,2.x.x.x,25,16,25,24.999999999999986
refolded,2.x.x.x,25,17,22,20.73017930150121
refolded,2.x.x.x,25,18,25,24.999999999999986
refolded,2.x.x.x,25,19,25,24.999999999999986
refolded,2.x.x.x,50,0,48,47.30288233627977
refolded,2.x.x.x,50,1,45,43.07438937428566
refolded,2.x.x.x,50,2,49,48.63274737061424
refolded,2.x.x.x,50,3,48,46.810440615058205
refolded,2.x.x.x,50,4,50,49.99999999999997
refolded,2.x.x.x,50,5,48,47.30288233627977
refolded,2.x.x.x,50,6,46,44.285375290470206
refolded,2.x.x.x,50,7,48,47.30288233627977
refolded,2.x.x.x,50,8,45,42.337265618126345
refolded,2.x.x.x,50,9,48,47.30288233627977
refolded,2.x.x.x,50,10,49,48.63274737061424
refolded,2.x.x.x,50,11,50,49.99999999999997
refolded,2.x.x.x,50,12,49,48.63274737061424
refolded,2.x.x.x,50,13,49,48.63274737061424
refolded,2.x.x.x,50,14,47,45.530406654785345
refolded,2.x.x.x,50,15,48,47.30288233627977
refolded,2.x.x.x,50,16,48,47.30288233627977
refolded,2.x.x.x,50,17,49,48.63274737061424
refolded,2.x.x.x,50,18,46,43.527528164806185
refolded,2.x.x.x,50,19,49,48.63274737061424
refolded,2.x.x.x,100,0,93,88.50946182118389
refolded,2.x.x.x,100,1,90,84.96274305400348
refolded,2.x.x.x,100,2,93,89.50250709279713
refolded,2.x.x.x,100,3,91,87.35137088444759
refolded,2.x.x.x,100,4,96,94.11203460819475
refolded,2.x.x.x,100,5,91,86.60073202164153
refolded,2.x.x.x,100,6,90,82.63943237719519
refolded,2.x.x.x,100,7,87,77.50982632008406
refolded,2.x.x.x,100,8,91,85.63988242931485
refolded,2.x.x.x,100,9,92,87.80963319009942
refolded,2.x.x.x,100,10,95,92.81636641701239
refolded,2.x.x.x,100,11,89,77.26072873738391
refolded,2.x.x.x,100,12,94,89.74500786470311
refolded,2.x.x.x,100,13,90,84.23263045037524
refolded,2.x.x.x,100,14,92,87.0550563296123
refolded,2.x.x.x,100,15,90,84.90395094585116
refolded,2.x.x.x,100,16,95,92.81636641701239
refolded,2.x.x.x,100,17,88,81.50171089115739
refolded,2.x.x.x,100,18,95,93.30329915368053
