model,mode,predictor,range,cut,mean_precision
seq-knn-k10-noself,single_seq,knn,short,L/5,0.29802759676419394
seq-knn-k10-noself,single_seq,knn,short,R,0.3672936756006439
seq-knn-k10-noself-plain,single_seq,knn,all,AUC,0.7108097447846077
seq-knn-k10-noself-plain,single_seq,knn,all,L,0.3185013937815388
seq-knn-k10-noself-plain,single_seq,knn,all,L/2,0.40280671302370685
seq-knn-k10-noself-plain,single_seq,knn,all,L/5,0.45898017062839475
seq-knn-k10-noself-plain,single_seq,knn,all,R,0.3403510658831746
seq-knn-k10-noself-plain,single_seq,knn,long,AUC,0.7009454308369131
seq-knn-k10-noself-plain,single_seq,knn,long,L,0.2084716377295019
seq-knn-k10-noself-plain,single_seq,knn,long,L/2,0.31543992750731914
seq-knn-k10-noself-plain,single_seq,knn,long,L/5,0.4029481159273042
seq-knn-k10-noself-plain,single_seq,knn,long,R,0.32027879020926386
seq-knn-k10-noself-plain,single_seq,knn,medium,AUC,0.719961443317313
seq-knn-k10-noself-plain,single_seq,knn,medium,L,0.10413178774532177
seq-knn-k10-noself-plain,single_seq,knn,medium,L/2,0.19275943395544395
seq-knn-k10-noself-plain,single_seq,knn,medium,L/5,0.3379916025200252
seq-knn-k10-noself-plain,single_seq,knn,medium,R,0.3522322138953729
seq-knn-k10-noself-plain,single_seq,knn,short,AUC,0.722174839949207
seq-knn-k10-noself-plain,single_seq,knn,short,L,0.07556374267552501
seq-knn-k10-noself-plain,single_seq,knn,short,L/2,0.14001769587256402
seq-knn-k10-noself-plain,single_seq,knn,short,L/5,0.2926983655294716
seq-knn-k10-noself-plain,single_seq,knn,short,R,0.36167721178825013
seq-knn-k10-plain,single_seq,knn,all,AUC,0.710838110115915
seq-knn-k10-plain,single_seq,knn,all,L,0.31859396066110934
