eval_set,n_pairs,metric,n_targets,mean_effective_pairs,mean_prediction,oracle_best,confidence_top
eval-val,266,gdt_ts,1,265,0.6525482093663912,0.6756198347107438,0.6394628099173554
eval-val,266,lddt,1,265,0.6402381090636121,0.6415917473926578,0.6415917473926578
eval-val,266,rmsd,1,265,2.091151031396666,1.9630197755122678,1.9630197755122678
eval-val,266,tm_score,1,265,0.8464370549308067,0.8515580238935005,0.8474401322417473
eval-val,270,gdt_ts,45,269.64444444444445,0.4874093429080592,0.5043834249264931,0.4857781412674606
eval-val,270,lddt,45,269.64444444444445,0.6355809073154448,0.6395328133857726,0.6362102063189122
eval-val,270,rmsd,45,269.64444444444445,4.732071418213731,4.479763405956159,4.907741545509958
eval-val,270,tm_score,45,269.64444444444445,0.7513566372019419,0.761323899331415,0.7520562180759887
eval-val,277,gdt_ts,1,277,0.919454770755886,0.9340148698884758,0.9275092936802974
eval-val,277,lddt,1,277,0.8561652706021655,0.865220417848041,0.8572996211893451
eval-val,277,rmsd,1,277,0.9154809052528227,0.7107832631907024,0.9623094787261594
eval-val,277,tm_score,1,277,0.9658883159643767,0.9713798293978915,0.9665486172235452
eval-val,280,gdt_ts,44,279.6136363636364,0.4785278693324497,0.4955476022313938,0.47483551645649713
eval-val,280,lddt,44,279.6136363636364,0.6326284611782784,0.6373722931042649,0.632914964962833
eval-val,280,rmsd,44,279.6136363636364,4.7324725685951785,4.467485137822016,4.763402737437271
eval-val,280,tm_score,44,279.6136363636364,0.7505918681986349,0.7586639136520616,0.7509557946446145
eval-val,282,gdt_ts,1,282,0.5530842230130486,0.5702846975088968,0.5275800711743772
eval-val,282,lddt,1,282,0.6062904362600987,0.6138764628447697,0.6037536650581813
eval-val,282,rmsd,1,282,3.735469348137658,3.6746233126277863,3.834438593410309
eval-val,282,tm_score,1,282,0.8035829994404076,0.8148796065218661,0.7915502001769488
eval-val,283,gdt_ts,1,283,0.6089517078916372,0.6280918727915195,0.607773851590106
eval-val,283,lddt,1,283,0.6401766968111988,0.6447867147664381,0.6387180904171614
eval-val,283,rmsd,1,283,2.5215191789465554,2.413064696847686,2.590395088043863
eval-val,283,tm_score,1,283,0.8468380907619287,0.8547244343447618,0.839065094631044
eval-val,288,gdt_ts,1,288,0.22851335656213706,0.24390243902439024,0.21689895470383275
eval-val,288,lddt,1,288,0.4767719463248723,0.4817063834906331,0.4817063834906331
eval-val,288,rmsd,1,288,8.159424052066099,7.8096613142187525,8.325492590729075
eval-val,288,tm_score,1,288,0.6689546767421662,0.6773767992701147,0.6673497290998703
eval-val,290,gdt_ts,41,289.5609756097561,0.47440773920617024,0.49386446081090435,0.4707449214872959
eval-val,290,lddt,41,289.5609756097561,0.6356215693559363,0.6403674679802925,0.6358303213216882
eval-val,290,rmsd,41,289.5609756097561,4.885530654644513,4.5868975733223225,5.138019887353428
eval-val,290,tm_score,41,289.5609756097561,0.7465798988205299,0.7549400942026773,0.745740817009539
eval-val,297,gdt_ts,1,297,0.7021337946943483,0.7119377162629759,0.7119377162629759
eval-val,297,lddt,1,297,0.7244991219136341,0.7279151545206591,0.7250037398077431
eval-val,297,rmsd,1,297,1.7038346158692588,1.6621461179740853,1.7076701545463535
eval-val,297,tm_score,1,297,0.9060627613901564,0.9094000901357948,0.9093842980081933
eval-val,300,gdt_ts,38,299.4736842105263,0.47025033338216665,0.4857628741477504,0.463900330035224
eval-val,300,lddt,38,299.4736842105263,0.6265182532241051,0.6311457374441389,0.626702224292995
eval-val,300,rmsd,38,299.4736842105263,4.996757403787821,4.75717886843404,4.9585187985504895
eval-val,300,tm_score,38,299.4736842105263,0.7410765327999879,0.750615618378678,0.7414755897060265
eval-val,302,gdt_ts,2,302,0.5976755492483969,0.6122786863089607,0.5969641167725368
eval-val,302,lddt,2,302,0.7076464982381542,0.7126618399520767,0.7117257419962533
eval-val,302,rmsd,2,302,2.647971846478057,2.4994290829893666,2.6060165365501895
eval-val,302,tm_score,2,302,0.8464114057900505,0.8542693996412933,0.8542693996412933
eval-val,307,gdt_ts,1,307,0.48133116883116883,0.5016233766233766,0.4659090909090909
eval-val,307,lddt,1,307,0.592409546976743,0.5983502141666244,0.5851756478686809
eval-val,307,rmsd,1,307,3.2461493121774576,3.0293350014467184,3.3131921063399354
eval-val,307,tm_score,1,307,0.7740831479505985,0.7808901042879047,0.7724501441306542
eval-val,310,gdt_ts,35,309.42857142857144,0.45802272774359964,0.47341375632448385,0.45828728807000546
eval-val,310,lddt,35,309.42857142857144,0.6229956726997773,0.6284452834700879,0.6237941111566994
eval-val,310,rmsd,35,309.42857142857144,5.251320040030091,4.977769136130106,5.155847988565292
eval-val,310,tm_score,35,309.42857142857144,0.7331403619994772,0.7418757042525609,0.7340521020587638
eval-val,312,gdt_ts,1,312,0.5005446623093682,0.5220588235294118,0.4779411764705882
eval-val,312,lddt,1,312,0.7357368159969895,0.7370339200492636,0.7358033560835429
eval-val,312,rmsd,1,312,4.633027323473307,4.272724872693844,4.895808519331438
eval-val,312,tm_score,1,312,0.8659186465178126,0.87047928893212,0.8658786572401995
eval-val,314,gdt_ts,1,314,0.7280982905982906,0.7403846153846154,0.734775641025641
eval-val,314,lddt,1,314,0.7416517781586861,0.7496941175123212,0.7496941175123212
eval-val,314,rmsd,1,314,1.221760783429471,1.158854793826186,1.158854793826186
eval-val,314,tm_score,1,314,0.9218320771275296,0.9273972223506527,0.9273972223506527
eval-val,316,gdt_ts,1,316,0.07653664302600473,0.08421985815602837,0.07358156028368794
eval-val,316,lddt,1,316,0.6425301793477797,0.6471509732504678,0.6369681377860736
eval-val,316,rmsd,1,316,8.24789761185862,8.087546761192437,8.35305324597769
eval-val,316,tm_score,1,316,0.48557963425867146,0.48885657279397515,0.4842030956250653
eval-val,320,gdt_ts,32,319.375,0.46481230373248716,0.48111428840592413,0.46453634843246755
eval-val,320,lddt,32,319.375,0.6183242194248195,0.6230653776854995,0.6178117987092527
eval-val,320,rmsd,32,319.375,5.2628971585912945,4.940559193745484,5.175902871475236
eval-val,320,tm_score,32,319.375,0.7357931460317304,0.7456718347597607,0.7355951495795675
eval-val,321,gdt_ts,1,321,0.4250334672021419,0.45783132530120485,0.41164658634538154
eval-val,321,lddt,1,321,0.7964009917769235,0.8039454278412057,0.7817480068276269
eval-val,321,rmsd,1,321,3.941471325692996,3.153341602189049,4.345452470579762
eval-val,321,tm_score,1,321,0.8568929858616043,0.8637134041971952,0.8496623574773112
eval-val,325,gdt_ts,1,317,0.3385225885225885,0.3489010989010989,0.32417582417582413
eval-val,325,lddt,1,317,0.5424870786831171,0.547264951809536,0.547264951809536
eval-val,325,rmsd,1,317,3.9570404375516315,3.907450918674397,4.010944816176929
eval-val,325,tm_score,1,317,0.6710543846634494,0.676504427942951,0.6634321402787029
eval-val,327,gdt_ts,1,327,0.7197712418300654,0.7303921568627452,0.7009803921568628
eval-val,327,lddt,1,327,0.765773999188923,0.7761369561439082,0.7761369561439082
eval-val,327,rmsd,1,327,2.1496275465089165,2.132439581640282,2.1435159892158335
eval-val,327,tm_score,1,327,0.905665745765002,0.9130113016413473,0.9130113016413473
eval-val,328,gdt_ts,1,328,0.5445246690734056,0.5532490974729242,0.5433212996389892
eval-val,328,lddt,1,328,0.5645852939090351,0.5666491540184398,0.566453919067435
eval-val,328,rmsd,1,328,3.6794275316467426,3.5810437790428664,3.648240133093807
eval-val,328,tm_score,1,328,0.840516289922872,0.8464697525095748,0.8399147005539364
eval-val,330,gdt_ts,28,329.57142857142856,0.463294338721702,0.4838772086402762,0.4597691829044593
eval-val,330,lddt,28,329.57142857142856,0.611783258165846,0.6171394829346475,0.6125153290328463
eval-val,330,rmsd,28,329.57142857142856,5.399066714462259,5.08736305885515,5.396217583275625
eval-val,330,tm_score,28,329.57142857142856,0.7214370254865113,0.7345601321769931,0.7209774180133202
eval-val,334,gdt_ts,1,332,0.01182237600922722,0.014705882352941176,0.013840830449826988
eval-val,334,lddt,1,332,0.2648438913344992,0.2652779452853324,0.2652779452853324
eval-val,334,rmsd,1,332,13.56073627567694,13.058796272123441,13.903141851620035
eval-val,334,tm_score,1,332,0.25236129669728224,0.2640940321143992,0.2472266981326269
eval-val,337,gdt_ts,1,337,0.7361111111111112,0.7450980392156863,0.7410130718954249
eval-val,337,lddt,1,337,0.7130412882132231,0.7185445761857612,0.7185445761857612
eval-val,337,rmsd,1,337,2.4946415357380585,2.4340072242041826,2.4340072242041826
eval-val,337,tm_score,1,337,0.9208700167806471,0.9266730244981155,0.9266730244981155
eval-val,338,gdt_ts,1,335,0.671225937183384,0.6892097264437689,0.6398176291793314
eval-val,338,lddt,1,335,0.6936473873010996,0.6965573637176858,0.6952738296392009
eval-val,338,rmsd,1,335,3.3730838318275187,3.0726428073376812,3.781980965725762
eval-val,338,tm_score,1,335,0.8354761991299889,0.837210245660071,0.8354849736582058
eval-val,340,gdt_ts,23,339.69565217391306,0.45325067185888873,0.47712921461697677,0.44739701586784497
eval-val,340,lddt,23,339.69565217391306,0.6065279928275072,0.6119913160704602,0.606000475444458
eval-val,340,rmsd,23,339.69565217391306,5.588555820043181,5.096512261166321,5.872619101766698
eval-val,340,tm_score,23,339.69565217391306,0.7195580990104029,0.7312570392526454,0.7162726054022517
eval-val,350,gdt_ts,23,349.69565217391306,0.4530910006822872,0.4794973283270874,0.4535228694303371
eval-val,350,lddt,23,349.69565217391306,0.6086335012858332,0.6156054186800157,0.6091225328337526
