DMS_id,depth,spearman,n_variants
TAT_HV1BR_Fernandes_2016,1,-0.00534201040099366,1577
TCRG1_MOUSE_Tsuboyama_2023_1E0L,1,0.3046839950781363,621
TCRG1_MOUSE_Tsuboyama_2023_1E0L,2,0.3813053802633089,437
THO1_YEAST_Tsuboyama_2023_2WQG,1,0.3219116582420757,656
THO1_YEAST_Tsuboyama_2023_2WQG,2,0.1974697960011736,623
TNKS2_HUMAN_Tsuboyama_2023_5JRT,1,0.3688191262477244,1118
TNKS2_HUMAN_Tsuboyama_2023_5JRT,2,-0.09961815705299887,361
TPK1_HUMAN_Weile_2017,1,0.1943718935953495,3181
TPMT_HUMAN_Matreyek_2018,1,0.33326390193550537,3648
TPOR_HUMAN_Bridgford_2020,1,0.2858012633501615,562
TRPC_SACS2_Chan_2017,1,0.29819207431823375,1519
TRPC_THEMA_Chan_2017,1,0.3239694065334548,1519
UBC9_HUMAN_Weile_2017,1,0.41978978669523104,2563
UBE4B_HUMAN_Tsuboyama_2023_3L1X,1,0.5717226444456194,1118
UBE4B_HUMAN_Tsuboyama_2023_3L1X,2,0.21868762358191343,2504
UBE4B_MOUSE_Starita_2013,1,0.4110612242943406,899
UBR5_HUMAN_Tsuboyama_2023_1I2T,1,0.1761857290674878,1094
UBR5_HUMAN_Tsuboyama_2023_1I2T,2,0.09706872493943969,359
VG08_BPP22_Tsuboyama_2023_2GP8,1,0.4456860724085695,723
VILI_CHICK_Tsuboyama_2023_1YU5,1,0.21676308405029301,1202
VILI_CHICK_Tsuboyama_2023_1YU5,2,0.10971908368014405,1366
VKOR1_HUMAN_Chiasson_2020_abundance,1,0.42371377831496165,2695
VKOR1_HUMAN_Chiasson_2020_activity,1,0.30533039162886066,697
VRPI_BPT7_Tsuboyama_2023_2WNM,1,0.4003365747096867,1047
YAIA_ECOLI_Tsuboyama_2023_2KVT,1,0.1833701304639464,928
YAIA_ECOLI_Tsuboyama_2023_2KVT,2,0.3060055434529066,962
YAP1_HUMAN_Araya_2012,1,0.22941213671192376,362
YAP1_HUMAN_Araya_2012,2,0.1990842633768247,9713
YNZC_BACSU_Tsuboyama_2023_2JVD,1,0.41848304744425074,714
YNZC_BACSU_Tsuboyama_2023_2JVD,2,0.3813134240877791,1586
