DMS_id,orderings,min_context_fraction,spearman,n_variants,n_dropped,site_out_of_range,wt_mismatch,undefined_ratio
BLAT_ECOLX_Firnberg_2014,64,0.75,0.43122063884086326,4783,0,0,0,0
BLAT_ECOLX_Firnberg_2014,64,0.9,0.44174481126405224,4748,35,0,0,35
BLAT_ECOLX_Firnberg_2014,200,0.0,0.3822453553043757,4783,0,0,0,0
BLAT_ECOLX_Firnberg_2014,200,0.5,0.42305263286066913,4783,0,0,0,0
BLAT_ECOLX_Firnberg_2014,200,0.75,0.42909791841881606,4783,0,0,0,0
BLAT_ECOLX_Firnberg_2014,200,0.9,0.4329176211268545,4783,0,0,0,0
BLAT_ECOLX_Jacquier_2013,1,0.0,0.2471348911257759,989,0,0,0,0
BLAT_ECOLX_Jacquier_2013,4,0.0,0.2866366878865174,989,0,0,0,0
BLAT_ECOLX_Jacquier_2013,16,0.0,0.32199843295476477,989,0,0,0,0
BLAT_ECOLX_Jacquier_2013,16,0.5,0.35648258310731995,989,0,0,0,0
BLAT_ECOLX_Jacquier_2013,16,0.75,0.381977864188977,981,8,0,0,8
BLAT_ECOLX_Jacquier_2013,64,0.0,0.33152844125797787,989,0,0,0,0
BLAT_ECOLX_Jacquier_2013,64,0.5,0.3701261057784336,989,0,0,0,0
BLAT_ECOLX_Jacquier_2013,64,0.75,0.37773786322809955,989,0,0,0,0
BLAT_ECOLX_Jacquier_2013,64,0.9,0.3758544129959617,989,0,0,0,0
BLAT_ECOLX_Jacquier_2013,200,0.0,0.33400568077972603,989,0,0,0,0
BLAT_ECOLX_Jacquier_2013,200,0.5,0.3701850943121546,989,0,0,0,0
