dataset,stem,n_residues,n_true,precision_mf,precision_px
denovo_pdb,7osv_A,173,214,0.7710280373831776,0.8551401869158879
denovo_pdb,7ot7_A,183,242,0.7396694214876033,0.8223140495867769
denovo_pdb,7p12_A,184,219,0.8401826484018264,0.908675799086758
denovo_pdb,7qnl_AAA,240,166,0.9156626506024096,0.9397590361445785
denovo_pdb,7rmx_A,229,231,0.4502164502164502,0.8614718614718615
denovo_pdb,7smj_A,174,166,0.4096385542168674,0.891566265060241
denovo_pdb,7sq3_A,146,110,0.1272727272727272,0.7818181818181819
denovo_pdb,7sq4_A,48,3,0.6666666666666666,0.0
denovo_pdb,7sq5_A,140,114,0.1491228070175438,0.8508771929824561
denovo_pdb,7tal_A,196,194,0.7577319587628866,0.4690721649484536
denovo_pdb,7tjl_A,85,58,0.3793103448275862,0.3448275862068966
denovo_pdb,7udo_A,172,148,0.4797297297297297,0.8918918918918919
denovo_pdb,7uek_A,228,299,0.6555183946488294,0.862876254180602
denovo_pdb,7ur7_A,63,60,0.8666666666666667,0.7833333333333333
denovo_pdb,7ur8_A,71,44,0.75,0.5681818181818182
denovo_pdb,7vql_A,115,95,0.8421052631578947,0.7894736842105263
denovo_pdb,7vqv_A,115,108,0.8611111111111112,0.7592592592592593
denovo_pdb,7vty_A,90,82,0.4024390243902439,0.8536585365853658
denovo_pdb,7vu4_A,117,102,0.8529411764705882,0.8137254901960784
denovo_pdb,8a3k_UNK,127,104,0.5961538461538461,0.8846153846153846
denovo_pdb,8ah9_A,115,132,0.8106060606060606,0.9318181818181818
denovo_pdb,8bcs_A,49,21,0.8095238095238095,0.9523809523809524
denovo_pdb,8bl3_A,141,163,0.7177914110429447,0.9263803680981596
denovo_pdb,8bl5_A,117,110,0.6090909090909091,0.7909090909090909
denovo_pdb,8bl6_A,139,155,0.6516129032258065,0.832258064516129
denovo_pdb,8bl9_A,116,108,0.7222222222222222,0.5277777777777778
denovo_pdb,8bu0_A,136,124,0.9516129032258064,0.9596774193548387
denovo_pdb,8ch0_A,136,125,0.936,0.944
denovo_pdb,8chy_A,272,267,0.9288389513108616,0.9438202247191012
denovo_pdb,8cig_A,136,121,0.9421487603305784,0.950413223140496
denovo_pdb,8ckr_A,136,127,0.937007874015748,0.952755905511811
denovo_pdb,8cmq_A,136,122,0.9262295081967212,0.9344262295081968
denovo_pdb,8cqq_A,272,257,0.933852140077821,0.9455252918287936
denovo_pdb,8cux_B,119,99,0.2121212121212121,0.0202020202020202
denovo_pdb,8d03_A,65,44,0.1363636363636363,0.6136363636363636
denovo_pdb,8d05_A,60,48,0.625,0.8333333333333334
denovo_pdb,8d9o_A,194,169,0.6153846153846154,0.8994082840236687
denovo_pdb,8d9p_A,195,160,0.65625,0.875
denovo_pdb,8eov_A,139,145,0.5724137931034483,0.8551724137931035
denovo_pdb,8eoz_B,227,215,0.0697674418604651,0.8372093023255814
denovo_pdb,8etq_A,277,300,0.2533333333333333,0.2266666666666666
denovo_pdb,8fjf_A,127,94,0.5957446808510638,0.8297872340425532
denovo_pdb,8fjg_A,104,92,0.7282608695652174,0.8043478260869565
denovo_pdb,8g9j_A,201,153,0.6143790849673203,0.8562091503267973
denovo_pdb,8gl3_A,189,155,0.2709677419354839,0.5548387096774193
