budget,neither,one,both,fold1_seen,fold2_seen,assessable_neither,assessable_one,assessable_both,exact_neither,exact_one,exact_both,expected_neither,expected_one,expected_both
653,17,10,2,12,2,8,7,2,9,6,2,17.0481793626363,10.419002819545884,1.5328178178178176
654,17,10,2,12,2,8,7,2,9,6,2,17.04771970236907,10.417769787120426,1.5345105105105104
655,17,10,2,12,2,8,7,2,9,6,2,17.0472633647174,10.416535434081402,1.5362012012012012
656,17,10,2,12,2,8,7,2,9,6,2,17.04681033159384,10.41529977851627,1.5378898898898896
657,17,10,2,12,2,8,7,2,9,6,2,17.0463605849955,10.41406283842792,1.5395765765765765
658,17,10,2,12,2,8,7,2,9,6,2,17.045914107003668,10.41282463173507,1.541261261261261
659,17,10,2,12,2,8,7,2,9,6,2,17.045470879783423,10.411585176272629,1.5429439439439439
660,17,10,2,12,2,8,7,2,9,6,2,17.045030885583298,10.410344489792077,1.5446246246246247
661,17,10,2,12,2,8,7,2,9,6,2,17.04459410673487,10.409102589961826,1.5463033033033033
662,17,10,2,12,2,8,7,2,9,6,2,17.04416052565241,10.40785949436761,1.5479799799799796
663,17,10,2,12,2,8,7,2,9,6,2,17.043730124832507,10.406615220512837,1.5496546546546546
664,17,10,2,12,2,8,7,2,9,6,2,17.043302886853695,10.405369785818978,1.5513273273273271
665,17,10,2,12,2,8,7,2,9,6,2,17.042878794376087,10.404123207625915,1.552997997997998
666,17,10,2,12,2,8,7,2,9,6,2,17.042457830141007,10.402875503192325,1.5546666666666664
667,17,10,2,12,2,8,7,2,9,6,2,17.04203997697062,10.401626689696046,1.5563333333333333
668,17,10,2,12,2,8,7,2,9,6,2,17.041625217767564,10.400376784234437,1.5579979979979977
669,17,10,2,12,2,8,7,2,9,6,2,17.04121353551459,10.399125803824749,1.5596606606606604
670,17,10,2,12,2,8,7,2,9,6,2,17.040804913274194,10.397873765404483,1.561321321321321
671,17,10,2,12,2,8,7,2,9,6,2,17.04039933418825,10.396620685831767,1.5629799799799802
672,17,10,2,12,2,8,7,2,9,6,2,17.039996781477655,10.395366581885712,1.5646366366366364
673,17,10,2,12,2,8,7,2,9,6,2,17.039597238441942,10.394111470266765,1.5662912912912912
674,17,10,2,12,2,8,7,2,9,6,2,17.03920068845897,10.39285536759709,1.5679439439439438
675,17,10,2,12,2,8,7,2,9,6,2,17.038807114984493,10.391598290420916,1.5695945945945946
676,17,10,2,12,2,8,7,2,9,6,2,17.038416501551858,10.390340255204897,1.571243243243243
677,17,10,2,12,2,8,7,2,9,6,2,17.038028831771626,10.389081278338484,1.5728898898898898
678,17,10,2,12,2,8,7,2,9,6,2,17.037644089331202,10.387821376134264,1.5745345345345343
679,17,10,2,12,2,8,7,2,9,6,2,17.037262257994488,10.386560564828335,1.576177177177177
680,17,10,2,12,2,8,7,2,9,6,2,17.03688332160153,10.385298860580653,1.5778178178178177
681,17,10,2,12,2,8,7,2,9,6,2,17.036507264068156,10.384036279475389,1.5794564564564564
682,17,10,2,12,2,8,7,2,9,6,2,17.036134069385614,10.38277283752129,1.581093093093093
683,17,10,2,12,2,8,7,2,9,6,2,17.03576372162024,10.381508550652034,1.5827277277277279
684,17,10,2,12,2,8,7,2,9,6,2,17.03539620491307,10.38024343472657,1.5843603603603602
685,17,10,2,12,2,8,7,2,9,6,2,17.035031503479523,10.378977505529486,1.5859909909909908
686,17,10,2,12,2,8,7,2,9,6,2,17.03466960160902,10.377710778771359,1.5876196196196193
687,17,10,2,12,2,8,7,2,9,6,2,17.034310483664655,10.376443270089098,1.5892462462462462
688,17,10,2,12,2,8,7,2,9,6,2,17.033954134082826,10.375174995046304,1.5908708708708708
689,17,10,2,12,2,8,7,2,9,6,2,17.033600537372894,10.373905969133615,1.5924934934934933
690,17,10,2,12,2,8,7,2,9,6,2,17.033249678116835,10.372636207769052,1.594114114114114
691,17,10,2,12,2,8,7,2,9,6,2,17.032901540968886,10.37136572629838,1.5957327327327326
692,17,10,2,12,2,8,7,2,9,6,2,17.032556110655214,10.370094539995439,1.5973493493493491
693,17,10,2,12,2,8,7,2,9,6,2,17.032213371973533,10.368822664062503,1.5989639639639641
694,17,10,2,12,2,8,7,2,9,6,2,17.031873309792807,10.367550113630616,1.6005765765765765
695,17,10,2,12,2,8,7,2,9,6,2,17.031535909052863,10.366276903759951,1.6021871871871873
696,17,10,2,12,2,8,7,2,9,6,2,17.031201154764062,10.365003049440144,1.6037957957957958
697,17,10,2,12,2,8,7,2,9,6,2,17.03086903200696,10.363728565590636,1.6054024024024023
698,17,10,2,12,2,8,7,2,9,6,2,17.03053952593197,10.362453467061018,1.6070070070070068
699,17,10,2,12,2,8,7,2,9,6,2,17.030212621759006,10.361177768631386,1.6086096096096096
700,17,10,2,12,2,8,7,2,9,6,2,17.029888304777128,10.35990148501266,1.61021021021021
701,17,10,2,12,2,8,7,2,9,6,2,17.02956656034425,10.358624630846943,1.6118088088088087
702,17,10,2,12,2,8,7,2,9,6,2,17.029247373886747,10.35734722070785,1.6134054054054054
703,17,10,2,12,2,8,7,2,9,6,2,17.02893073089915,10.35606926910085,1.6149999999999998
704,17,10,2,12,2,8,7,2,9,6,2,17.0286166169438,10.354790790463609,1.6165925925925926
705,17,10,2,12,2,8,7,2,9,6,2,17.028305017650496,10.353511799166322,1.6181831831831832
706,17,10,2,12,2,8,7,2,9,6,2,17.02799591871618,10.35223230951205,1.6197717717717717
707,17,10,2,12,2,8,7,2,9,6,2,17.027689305904577,10.350952335737064,1.6213583583583584
708,17,10,2,12,2,8,7,2,9,6,2,17.027385165045896,10.349671892011163,1.622942942942943
