eval_set,stratum,predictor,range,cut,value,n
eval-test,non-viral,seq-KNN (unfiltered corpus),all,AUC,0.8838569100722115,204
eval-test,non-viral,seq-KNN (unfiltered corpus),all,R,0.6023798526923995,204
eval-test,non-viral,seq-KNN (unfiltered corpus),long,AUC,0.8785039324956849,204
eval-test,non-viral,seq-KNN (unfiltered corpus),long,R,0.5945614094032726,204
eval-val,non-viral,#199 cooldown (contaminated),all,AUC,0.9547202214068918,91
eval-val,non-viral,#199 cooldown (contaminated),all,R,0.5965111686195164,91
eval-val,non-viral,#199 cooldown (contaminated),long,AUC,0.9476541120575417,91
eval-val,non-viral,#199 cooldown (contaminated),long,R,0.5835048953771045,91
eval-val,non-viral,#232 m1-p02 (decontaminated),all,AUC,0.9160455110588448,91
eval-val,non-viral,#232 m1-p02 (decontaminated),all,R,0.47734832524192067,91
eval-val,non-viral,#232 m1-p02 (decontaminated),long,AUC,0.90088622649099,91
eval-val,non-viral,#232 m1-p02 (decontaminated),long,R,0.4522872237736343,91
eval-val,non-viral,#232 m2-p06 (decontaminated),all,AUC,0.9335677357036304,91
eval-val,non-viral,#232 m2-p06 (decontaminated),all,R,0.5242533966898907,91
eval-val,non-viral,#232 m2-p06 (decontaminated),long,AUC,0.9220254057923111,91
eval-val,non-viral,#232 m2-p06 (decontaminated),long,R,0.5067827400724924,91
eval-val,non-viral,ESMFold,all,AUC,0.905301694961087,91
eval-val,non-viral,ESMFold,all,R,0.7595134976917028,91
eval-val,non-viral,ESMFold,long,AUC,0.900275301094472,91
eval-val,non-viral,ESMFold,long,R,0.7488049496563006,91
eval-val,non-viral,ESMFold2,all,AUC,0.9310694238511997,91
eval-val,non-viral,ESMFold2,all,R,0.8087113287394149,91
eval-val,non-viral,ESMFold2,long,AUC,0.9273153271278561,91
eval-val,non-viral,ESMFold2,long,R,0.7990231319678199,91
eval-val,non-viral,Protenix-v2 + MSA,all,AUC,0.9546644238546809,91
eval-val,non-viral,Protenix-v2 + MSA,all,R,0.8501545162493109,91
eval-val,non-viral,Protenix-v2 + MSA,long,AUC,0.9508217552952983,91
eval-val,non-viral,Protenix-v2 + MSA,long,R,0.8383407271560042,91
eval-val,non-viral,Protenix-v2 single-seq,all,AUC,0.6422853172701614,91
eval-val,non-viral,Protenix-v2 single-seq,all,R,0.2630663069921893,91
eval-val,non-viral,Protenix-v2 single-seq,long,AUC,0.6291436632077412,91
eval-val,non-viral,Protenix-v2 single-seq,long,R,0.23514428270277843,91
eval-val,non-viral,seq-KNN (decontaminated corpus),all,AUC,0.7803313363604691,91
eval-val,non-viral,seq-KNN (decontaminated corpus),all,R,0.4240328498079086,91
eval-val,non-viral,seq-KNN (decontaminated corpus),long,AUC,0.7713939135320862,91
eval-val,non-viral,seq-KNN (decontaminated corpus),long,R,0.4088815709674564,91
eval-val,non-viral,seq-KNN (unfiltered corpus),all,AUC,0.883269808603916,91
eval-val,non-viral,seq-KNN (unfiltered corpus),all,R,0.6066481790927697,91
eval-val,non-viral,seq-KNN (unfiltered corpus),long,AUC,0.8794030492533431,91
eval-val,non-viral,seq-KNN (unfiltered corpus),long,R,0.602670484243958,91
