population,tier_axis,tier,predictor,range,cut,n,mean,ci_low,ci_high
all_natural,depth_tier,100-1000,ESMFold2,all,R,76,0.6712484738884913,0.6119628808856066,0.7279289186922996
all_natural,depth_tier,100-1000,MarinFold #232 m2-p06 (step 363k),all,R,76,0.41282932239510095,0.3674196490159308,0.45905140546396794
all_natural,depth_tier,100-1000,Protenix-v2 + MSA,all,R,76,0.8193822860330497,0.7937960914365756,0.8418158199031632
all_natural,depth_tier,100-1000,Protenix-v2 single-seq,all,R,76,0.27778140873740936,0.22921782891676462,0.330217965645318
all_natural,depth_tier,100-1000,seq-KNN (decontaminated corpus),all,R,63,0.2873502627547698,0.2365773408791909,0.3377629866747817
all_natural,depth_tier,100-1000,ESMFold2,long,R,76,0.6523864488031658,0.5893583844886046,0.712432689833883
all_natural,depth_tier,100-1000,MarinFold #232 m2-p06 (step 363k),long,R,76,0.38029559934744767,0.3300783064180234,0.4315186614366623
all_natural,depth_tier,100-1000,Protenix-v2 + MSA,long,R,76,0.8029619333753136,0.7720850552124106,0.8301532727883816
all_natural,depth_tier,100-1000,Protenix-v2 single-seq,long,R,76,0.2414969066850475,0.19024006106018512,0.2969742144737432
all_natural,depth_tier,100-1000,seq-KNN (decontaminated corpus),long,R,63,0.27594394869460037,0.22426531509757638,0.3269889639508096
all_natural,depth_tier,1000+,ESMFold2,all,AUC,76,0.933300823898668,0.9161520534212364,0.9478073071740822
all_natural,depth_tier,1000+,MarinFold #232 m2-p06 (step 363k),all,AUC,233,0.9572351196666312,0.9491614505020158,0.9646442154250173
all_natural,depth_tier,1000+,Protenix-v2 + MSA,all,AUC,76,0.9523830973562178,0.9421880432163464,0.9607914040407135
all_natural,depth_tier,1000+,Protenix-v2 single-seq,all,AUC,76,0.6443487467321364,0.6174257125396975,0.6729538429767831
all_natural,depth_tier,1000+,seq-KNN (decontaminated corpus),all,AUC,225,0.8340824298656909,0.8212154380703346,0.8464377439008073
all_natural,depth_tier,1000+,ESMFold2,all,R,233,0.8274218619547966,0.8128573625884267,0.8400966567730898
all_natural,depth_tier,1000+,MarinFold #232 m2-p06 (step 363k),all,R,233,0.6160916615590255,0.5937644452418703,0.6366751444539951
all_natural,depth_tier,1000+,Protenix-v2 + MSA,all,R,233,0.8576534163771165,0.849004822816498,0.8653389779660983
all_natural,depth_tier,1000+,Protenix-v2 single-seq,all,R,233,0.24868021542372315,0.22145397071658013,0.2759088435675686
all_natural,depth_tier,1000+,seq-KNN (decontaminated corpus),all,R,225,0.49826136883753447,0.48025174526182235,0.5153593891060272
all_natural,depth_tier,1000+,ESMFold2,long,R,233,0.8194122234073518,0.8036747036347823,0.8333249766847913
all_natural,depth_tier,1000+,MarinFold #232 m2-p06 (step 363k),long,R,233,0.5985365897858796,0.5740565312599109,0.6215286735141672
all_natural,depth_tier,1000+,Protenix-v2 + MSA,long,R,233,0.8498276924317517,0.8405918294308475,0.8582797617438679
all_natural,depth_tier,1000+,Protenix-v2 single-seq,long,R,233,0.2095306590716087,0.1817478691003824,0.2379915858996018
all_natural,depth_tier,1000+,seq-KNN (decontaminated corpus),long,R,225,0.48695155482817337,0.4671379706830241,0.5061714539871703
all_natural,depth_tier,<10,ESMFold2,all,AUC,11,0.6776001696634082,0.6183148265110572,0.732934774385475
all_natural,depth_tier,<10,MarinFold #232 m2-p06 (step 363k),all,AUC,16,0.8442832478058288,0.8003887382563151,0.8858177250286715
all_natural,depth_tier,<10,Protenix-v2 + MSA,all,AUC,11,0.7190803679262877,0.643683165221672,0.796626890790097
all_natural,depth_tier,<10,Protenix-v2 single-seq,all,AUC,11,0.6405768661445772,0.5907602629619674,0.6902922212538958
all_natural,depth_tier,<10,seq-KNN (decontaminated corpus),all,AUC,5,0.5115739870936874,0.5015431071670673,0.5265589312771898
all_natural,depth_tier,<10,ESMFold2,all,R,16,0.4259119925338768,0.31005334436363896,0.5462526036326097
all_natural,depth_tier,<10,MarinFold #232 m2-p06 (step 363k),all,R,16,0.29959337956084986,0.2236145940183376,0.39282994863905785
all_natural,depth_tier,<10,Protenix-v2 + MSA,all,R,16,0.33580486107066143,0.23524710908159316,0.4390208622082978
all_natural,depth_tier,<10,Protenix-v2 single-seq,all,R,16,0.2412182081396782,0.16013152245771922,0.3343122977320302
all_natural,depth_tier,<10,seq-KNN (decontaminated corpus),all,R,5,0.02686931002720474,0.0074074074074074,0.05684981684981679
all_natural,depth_tier,<10,ESMFold2,long,R,16,0.3457957412815217,0.2159120999131146,0.48103564466959464
all_natural,depth_tier,<10,MarinFold #232 m2-p06 (step 363k),long,R,16,0.21897892349536086,0.12345704369290311,0.34701109243863326
all_natural,depth_tier,<10,Protenix-v2 + MSA,long,R,16,0.2664702575492493,0.1467932570861353,0.39132766984804085
all_natural,depth_tier,<10,Protenix-v2 single-seq,long,R,16,0.18444023963360295,0.09659690916562595,0.2850532946873261
all_natural,depth_tier,<10,seq-KNN (decontaminated corpus),long,R,5,0.007147344997600219,0.0009756097560975599,0.013864042933810342
all_natural,depth_tier,all,ESMFold2,all,AUC,140,0.8596617789551139,0.8351251125714442,0.8820245244752278
all_natural,depth_tier,all,MarinFold #232 m2-p06 (step 363k),all,AUC,357,0.9297640692358988,0.9209290284489696,0.9380959961373484
all_natural,depth_tier,all,Protenix-v2 + MSA,all,AUC,140,0.9205873353112956,0.9043631207541889,0.9346332684362127
all_natural,depth_tier,all,Protenix-v2 single-seq,all,AUC,140,0.6369640997003897,0.6189890734270128,0.6558232685585861
all_natural,depth_tier,all,seq-KNN (decontaminated corpus),all,AUC,314,0.7772116225579824,0.7610704409250474,0.7931279553484362
all_natural,depth_tier,all,ESMFold2,all,R,357,0.744072139911211,0.7206074679726155,0.7662361516655533
all_natural,depth_tier,all,MarinFold #232 m2-p06 (step 363k),all,R,357,0.5284060302482155,0.5056297692958982,0.5505515419636294
all_natural,depth_tier,all,Protenix-v2 + MSA,all,R,357,0.8169544641734653,0.8010007564019996,0.8313791602809594
all_natural,depth_tier,all,Protenix-v2 single-seq,all,R,357,0.25675774836939746,0.23443139681491115,0.28005727023184407
all_natural,depth_tier,all,seq-KNN (decontaminated corpus),all,R,314,0.4199863858961159,0.39722488254148075,0.4424711744622803
all_natural,depth_tier,all,ESMFold2,long,R,357,0.7294197089771045,0.7040676011714976,0.7532952135125136
all_natural,depth_tier,all,MarinFold #232 m2-p06 (step 363k),long,R,357,0.5017854861047589,0.47640686528502674,0.5261211430147363
