subset,predictor,feature,n,rho,p,q
eval-test,#232 m1-p02 (decontaminated),knn_best_identity,217,-0.0007710156828864447,0.9909903411545202,0.9983857914616434
eval-test,#232 m1-p02 (decontaminated),relative_contact_order,217,0.0015484357393427024,0.9819070025539168,0.9985494941226274
eval-test,#232 m1-p02 (decontaminated),is_membrane,205,0.005085411664281648,0.9423096431584007,0.978552321741416
eval-test,#232 m1-p02 (decontaminated),length,217,0.006677434102203317,0.9220929246728221,0.9725198814908671
eval-test,#232 m1-p02 (decontaminated),frac_long_contacts,217,0.01845557435575273,0.7869137806266465,0.8797793820670582
eval-test,#232 m1-p02 (decontaminated),msa_n_near_identical,217,0.022698844536646508,0.7395219623694427,0.8606505596540928
eval-test,#232 m1-p02 (decontaminated),exp199_esm_atlas_best_identity,196,0.02444990405489865,0.7337359949638027,0.8576135006070421
eval-test,#232 m1-p02 (decontaminated),knn_best_bits,217,0.027717898421443725,0.6847206344878097,0.8290339520704423
eval-test,#232 m1-p02 (decontaminated),resolved_fraction,217,0.03953797075962869,0.5623912738661649,0.7300271343455026
eval-test,#232 m1-p02 (decontaminated),n_pfam,217,0.055697066392864446,0.41429187830891323,0.5810847124332809
eval-test,#232 m1-p02 (decontaminated),n_sse,217,0.06367750795457637,0.35053176576897943,0.5302161162892126
eval-test,#232 m1-p02 (decontaminated),frac_coil,217,0.08376541245326999,0.21908088540057236,0.38661332717748065
eval-test,#232 m1-p02 (decontaminated),n_interpro,217,0.08808202346496749,0.19616715862599476,0.36277488239053823
eval-test,#232 m1-p02 (decontaminated),mean_hydropathy,217,0.10604054353296169,0.11936438672057927,0.24886783331703785
eval-test,#232 m1-p02 (decontaminated),frac_proline,217,0.10746785218879687,0.11444349502041881,0.24235093063147511
eval-test,#232 m1-p02 (decontaminated),frac_sheet,217,0.11144885693060935,0.10155384149523361,0.22567520332274135
eval-test,#232 m1-p02 (decontaminated),median_contact_separation,217,0.15377006863406664,0.023476931707283568,0.07370664605775074
eval-test,#232 m1-p02 (decontaminated),is_secreted,205,0.15883426608174162,0.022923065445035078,0.07281444317834672
eval-test,#232 m1-p02 (decontaminated),kingdom_bacteria,217,0.18270255998498602,0.006963514297334927,0.026668778160006106
eval-test,#232 m1-p02 (decontaminated),n_uniprot_domains,205,0.18508276789838823,0.007889293029602649,0.029584848861009934
eval-test,#232 m1-p02 (decontaminated),has_signal_peptide,205,0.19526155642379495,0.005021010008278706,0.02054049548841289
eval-test,#232 m1-p02 (decontaminated),residual_identity_cov40,217,0.23437271086183964,0.0004991743816646644,0.0026426879029305766
