predictor,feature,importance
Protenix-v2 + MSA,is_nuclear,0.0
Protenix-v2 + MSA,kingdom_bacteria,-0.00023839200130463257
Protenix-v2 + MSA,kingdom_eukaryote,0.03470934468344812
Protenix-v2 + MSA,kingdom_archaea,0.0
Protenix-v2 + MSA,kingdom_virus,0.0
seq-KNN (unfiltered corpus),length,0.00255190594016573
seq-KNN (unfiltered corpus),is_viral,0.0
seq-KNN (unfiltered corpus),n_uniprot_xrefs,0.0
seq-KNN (unfiltered corpus),exp199_best_identity,0.0017999050925889438
seq-KNN (unfiltered corpus),exp199_afdb_best_identity,0.45733177209400466
seq-KNN (unfiltered corpus),exp199_esm_atlas_best_identity,-0.0007381972925472851
seq-KNN (unfiltered corpus),n_contacts,0.00021488044598560742
seq-KNN (unfiltered corpus),contacts_per_residue,-0.0020198447508376406
seq-KNN (unfiltered corpus),resolved_fraction,0.002686132800570934
seq-KNN (unfiltered corpus),mean_contact_order,0.0010364822848481724
seq-KNN (unfiltered corpus),relative_contact_order,0.0004097457422541223
seq-KNN (unfiltered corpus),median_contact_separation,-0.001086597740177636
seq-KNN (unfiltered corpus),frac_long_contacts,-5.3797220114243374e-05
seq-KNN (unfiltered corpus),n_long_contacts,7.266604968425016e-05
seq-KNN (unfiltered corpus),long_contacts_per_residue,0.001387775822118162
seq-KNN (unfiltered corpus),frac_hydrophobic,0.0005095839186388784
seq-KNN (unfiltered corpus),frac_polar,0.0028642554699764068
seq-KNN (unfiltered corpus),frac_charged,-0.00031727380957027873
seq-KNN (unfiltered corpus),frac_glycine,0.0003162719733949437
seq-KNN (unfiltered corpus),frac_proline,0.00021960327399669634
seq-KNN (unfiltered corpus),mean_hydropathy,0.0008578761591933271
seq-KNN (unfiltered corpus),frac_low_complexity,-0.00010243072172387846
seq-KNN (unfiltered corpus),train_n_hits_significant,-0.00013275331089587227
seq-KNN (unfiltered corpus),train_log_n_hits,0.0
seq-KNN (unfiltered corpus),train_best_evalue_log,-0.0003653487090595403
seq-KNN (unfiltered corpus),train_afdb_n_hits,0.014042927560380475
seq-KNN (unfiltered corpus),train_esm_n_hits,-0.0003641814943635219
seq-KNN (unfiltered corpus),residual_identity_cov40,0.00016785477582544338
seq-KNN (unfiltered corpus),residual_identity_cov30,-0.0005675975991211695
seq-KNN (unfiltered corpus),residual_identity_anycov,0.001302547193365111
seq-KNN (unfiltered corpus),n_surviving_alignments,0.0010520107526725247
seq-KNN (unfiltered corpus),knn_n_hits,0.005491167434953348
seq-KNN (unfiltered corpus),knn_best_bits,0.10742395662840484
seq-KNN (unfiltered corpus),knn_best_identity,0.007239498955002347
seq-KNN (unfiltered corpus),knn_best_qcov,0.04051553172317091
seq-KNN (unfiltered corpus),frac_helix,-0.0005388861035426657
seq-KNN (unfiltered corpus),frac_sheet,0.0026164859546731673
seq-KNN (unfiltered corpus),frac_coil,-0.0003959372869987765
seq-KNN (unfiltered corpus),n_sse,0.004265290239594791
seq-KNN (unfiltered corpus),radius_of_gyration,-0.0005955395595311109
seq-KNN (unfiltered corpus),rg_over_length,3.253550616975631e-05
seq-KNN (unfiltered corpus),msa_depth,0.010629036755017054
seq-KNN (unfiltered corpus),msa_log_depth,0.0
seq-KNN (unfiltered corpus),msa_n_near_identical,-0.0009013528244283308
seq-KNN (unfiltered corpus),msa_mean_coverage,0.008834131603689246
seq-KNN (unfiltered corpus),n_pfam,-2.4149107708149044e-06
seq-KNN (unfiltered corpus),n_interpro,-0.00015563418237459493
seq-KNN (unfiltered corpus),n_go,0.000267465255756108
seq-KNN (unfiltered corpus),has_ec,-8.650798708016994e-05
