dataset,stem,arm,range,L,n_rollouts,n_true,n_candidates,n_voted,n_unvoted,n_unvoted_negative,n_union_true,union_recall
foldbench_monomer,8e5h_A,iid,long,372,100,244,59340,4296,55044,55025,225,0.9221311475409836
foldbench_monomer,8eb9_A,iid,all,95,100,71,3486,1583,1903,1897,65,0.9154929577464789
foldbench_monomer,8eb9_A,iid,long,95,100,36,2145,950,1195,1189,30,0.8333333333333334
foldbench_monomer,8ec3_A,iid,all,168,100,126,11204,3169,8035,8030,121,0.9603174603174603
foldbench_monomer,8ec3_A,iid,long,168,100,115,8888,2665,6223,6219,111,0.9652173913043478
foldbench_monomer,8eo5_A,iid,all,290,100,253,34980,937,34043,34040,250,0.9881422924901185
foldbench_monomer,8eo5_A,iid,long,290,100,167,30381,630,29751,29750,166,0.9940119760479041
foldbench_monomer,8gmy_A,iid,all,236,100,254,22800,3420,19380,19310,184,0.7244094488188977
foldbench_monomer,8gmy_A,iid,long,236,100,168,19155,2448,16707,16642,103,0.6130952380952381
foldbench_monomer,8q8i_A,iid,all,282,100,376,37410,3962,33448,33380,308,0.8191489361702128
foldbench_monomer,8q8i_A,iid,long,282,100,254,32685,2714,29971,29909,192,0.7559055118110236
foldbench_monomer,8ycm_A,iid,all,229,100,196,23436,4612,18824,18806,178,0.9081632653061225
foldbench_monomer,8ycm_A,iid,long,229,100,128,19701,3325,16376,16359,111,0.8671875
foldbench_monomer,7pv5_A,seeded,all,81,100,64,2420,321,2099,2099,64,1.0
foldbench_monomer,7pv5_A,seeded,long,81,100,41,1349,208,1141,1141,41,1.0
foldbench_monomer,7qp5_A,seeded,all,245,100,241,27730,4930,22800,22792,233,0.966804979253112
foldbench_monomer,7qp5_A,seeded,long,245,100,165,23653,3682,19971,19966,160,0.9696969696969697
foldbench_monomer,7qsj_A,seeded,all,373,100,347,57970,3807,54163,54156,340,0.9798270893371758
foldbench_monomer,7qsj_A,seeded,long,373,100,226,52003,2867,49136,49132,222,0.9823008849557522
foldbench_monomer,7t9r_A,seeded,all,38,100,24,528,358,170,167,21,0.875
foldbench_monomer,7t9r_A,seeded,long,38,100,7,105,80,25,23,5,0.7142857142857143
foldbench_monomer,7tjb_A,seeded,all,227,100,201,23436,1263,22173,22169,197,0.9800995024875622
foldbench_monomer,7tjb_A,seeded,long,227,100,134,19701,888,18813,18809,130,0.9701492537313433
foldbench_monomer,7tlh_A,seeded,all,136,100,114,7021,1540,5481,5476,109,0.956140350877193
foldbench_monomer,7tlh_A,seeded,long,136,100,77,5050,1094,3956,3955,76,0.987012987012987
foldbench_monomer,7uba_A,seeded,all,213,100,208,16486,5013,11473,11436,171,0.8221153846153846
foldbench_monomer,7uba_A,seeded,long,213,100,137,13632,3689,9943,9912,106,0.7737226277372263
foldbench_monomer,7uk8_A,seeded,all,394,100,526,71279,5291,65988,65971,509,0.967680608365019
foldbench_monomer,7uk8_A,seeded,long,394,100,398,64760,4119,60641,60625,382,0.9597989949748744
foldbench_monomer,7ur2_A,seeded,all,195,100,137,11959,3448,8511,8504,130,0.948905109489051
foldbench_monomer,7ur2_A,seeded,long,195,100,112,9571,2644,6927,6920,105,0.9375
foldbench_monomer,7urp_A,seeded,all,160,100,134,11781,2031,9750,9726,110,0.8208955223880597
foldbench_monomer,7urp_A,seeded,long,160,100,98,9180,1447,7733,7713,78,0.7959183673469388
