range,cut,subset,predictor,n,n_valid,mean,sem,n_pairs,delta_marinfold_minus_comparator,ci_lo,ci_hi,significant,split
long,R,no_homolog,Protenix-v2 single-seq,230,230,0.7003780499936738,0.017844895916081963,230.0,-0.21047115751809942,-0.2426746009194691,-0.17821711780305238,True,all
long,R,no_homolog,ESMFold,230,230,0.666505511558121,0.021116630073113055,230.0,-0.1765986190825465,-0.20891053620288405,-0.14471073739076828,True,all
long,R,no_homolog,ESMFold2,230,230,0.7295854372979979,0.01634695343027606,230.0,-0.23967854482242346,-0.27322641264031794,-0.20604635908185276,True,all
long,R,no_homolog,Protenix-v2 + MSA,230,230,0.7499075841417422,0.014527643559757863,230.0,-0.2600006916661676,-0.2948278662868834,-0.22418609625262528,True,all
long,R,no_homolog,seq-KNN k=10 (null),230,230,0.02186893665768283,0.004785221596007785,230.0,0.4680379558178917,0.43231289808442713,0.5041250048630568,True,all
all,AUC,no_homolog,"MarinFold #199 (1.5B, seq only)",47,47,0.8573450033424806,0.01267778163778668,,,,,,natural
all,AUC,no_homolog,Protenix-v2 single-seq,47,47,0.7326453202123308,0.022586454260671917,47.0,0.12469968313015,0.09232489530887555,0.15623682786668253,True,natural
all,AUC,no_homolog,ESMFold,47,47,0.7290078217408541,0.02595590568730292,47.0,0.1283371816016265,0.0929013301069454,0.16317726376810635,True,natural
all,AUC,no_homolog,ESMFold2,47,47,0.7792131845549758,0.022209990949800144,47.0,0.07813181878750508,0.0497277791599355,0.10628256679511972,True,natural
all,AUC,no_homolog,Protenix-v2 + MSA,47,47,0.8612124990505209,0.01696480836047287,47.0,-0.0038674957080402053,-0.037647660914069826,0.030910062082870136,False,natural
all,AUC,no_homolog,seq-KNN k=10 (null),47,47,0.5192872294453822,0.007405780038600271,47.0,0.33805777389709846,0.31533861693680715,0.3609893194774582,True,natural
all,R,no_homolog,"MarinFold #199 (1.5B, seq only)",47,47,0.3268140534449917,0.031191946613011345,,,,,,natural
all,R,no_homolog,Protenix-v2 single-seq,47,47,0.404252178440796,0.04157802410100738,47.0,-0.07743812499580437,-0.13786679285950298,-0.01691734185750016,True,natural
all,R,no_homolog,ESMFold,47,47,0.4284188267070366,0.04724556065977721,47.0,-0.10160477326204499,-0.16372173307155494,-0.04236543614769421,True,natural
all,R,no_homolog,ESMFold2,47,47,0.4968030196860205,0.04112749028964082,47.0,-0.16998896624102874,-0.22807233960541648,-0.11312282302771941,True,natural
all,R,no_homolog,Protenix-v2 + MSA,47,47,0.6271403981314524,0.034793608267138405,47.0,-0.3003263446864607,-0.37852217990957493,-0.21860529540688514,True,natural
all,R,no_homolog,seq-KNN k=10 (null),47,47,0.041073788835759795,0.014471647218495741,47.0,0.28574026460923196,0.23874780745082091,0.33716425811426576,True,natural
long,AUC,no_homolog,"MarinFold #199 (1.5B, seq only)",47,47,0.825887076868635,0.015654955604516387,,,,,,natural
long,AUC,no_homolog,Protenix-v2 single-seq,47,47,0.7119911222318654,0.024753368662299855,47.0,0.11389595463676946,0.07777542200938806,0.149380785153792,True,natural
long,AUC,no_homolog,ESMFold,47,47,0.7117840527683162,0.02880087460912859,47.0,0.11410302410031874,0.07584065885002442,0.15127226564042084,True,natural
long,AUC,no_homolog,ESMFold2,47,47,0.7662685643634433,0.023525873668897655,47.0,0.059618512505191616,0.02986554499227711,0.08964712612840384,True,natural
